data,nom,ambit
2025-01-01,"Cap d'Any","Espanya"
2025-01-06,"Reis","Catalunya"
2025-04-03,"Divendres Sant","Espanya"
2025-04-06,"Pasqua Florida","Catalunya"
2025-05-01,"Festa del Treball","Espanya"
2025-06-24,"Sant Joan","Catalunya"
2025-08-15,"L'Assumpció","Espanya"
2025-09-11,"Diada Nacional de Catalunya","Catalunya"
2025-10-12,"Dia de la Hispanitat","Espanya"
2025-12-08,"Immaculada","Espanya"
2025-12-25,"Nadal","Espanya"
2025-12-26,"Sant Esteve","Catalunya"
