id,nom,festa1,festa2
717,Abella de la Conca,2024-05-20,2024-10-07
1065,Abrera,2024-05-20,2024-06-29
638,Adrall,2024-02-02,2024-07-05
665,Adraén,2024-08-12,2024-08-13
171,Age,2024-01-08,2024-06-08
409,Agramunt,2024-08-30,2024-09-02
607,Aguilar,2024-05-03,2024-06-03
1331,Aguilar de Segarra,2024-06-21,2024-11-04
959,Aguiló,2024-01-22,2024-09-28
1,Agullana,2024-04-02,2024-08-16
524,Agulló,2024-04-29,2024-08-23
1096,Aiguafreda,2024-05-20,2024-12-05
861,Aiguamúrcia,2024-08-16,2024-12-13
205,Aiguaviva,2024-07-25,2024-10-29
670,Ainet de Besan,2024-01-05,2024-10-07
709,Ainet de Cardós,2024-02-13,2024-12-30
698,Aineto,2024-08-12,2024-11-11
340,Aitona,2024-05-17,2024-09-02
341,"Alamús, els",2024-01-19,2024-11-11
866,"Alba, l'",2024-08-16,2024-12-13
385,"Albagés, l'",2024-04-23,2024-08-26
2,Albanyà,2024-06-21,2024-11-30
978,Albarca,2024-01-22,2024-08-16
342,Albatàrrec,2024-05-10,2024-10-11
1501,Alberola,2024-06-13,2024-09-09
529,Albesa,2024-03-18,2024-08-16
386,"Albi, l'",2024-08-05,2024-09-26
926,Albinyana,2024-07-16,2024-08-23
892,"Albiol, l'",2024-07-16,2024-10-01
948,Albió,2024-09-06,2024-09-07
87,Albons,2024-02-13,2024-07-26
1034,Alcanar,2024-05-15,2024-10-14
343,Alcanó,2024-02-05,2024-03-19
344,Alcarràs,2024-01-19,2024-08-30
345,Alcoletge,2024-05-10,2024-09-13
867,Alcover,2024-08-16,2024-10-21
998,"Aldea, l'",2024-04-22,2024-05-20
999,Aldover,2024-04-23,2024-09-09
893,"Aleixar, l'",2024-02-05,2024-11-11
1175,Alella,2024-05-20,2024-08-01
5123,Alendo,,
1000,Alfara de Carles,2024-05-20,2024-12-09
346,Alfarràs,2024-01-20,2024-06-29
894,Alforja,2024-01-19,2024-09-27
347,Alfés,2024-01-19,2024-08-06
530,Algerri,2024-02-02,2024-02-05
348,Alguaire,2024-05-24,2024-09-27
669,Alins,2024-01-22,2024-06-25
622,Alinyà,2024-05-11,2024-08-12
868,Alió,2024-01-19,2024-08-23
156,All,2024-08-16,2024-08-19
349,Almacelles,2024-03-02,2024-09-24
