id,nom,festa1,festa2
1003,Benifallet,2026-01-01,
1018,Benissanet,2026-01-01,
773,Benós,2026-01-01,
1419,Berga,2026-01-01,
176,Besalú,2026-01-01,
206,Bescanó,2026-01-01,
656,Bescaran,2026-01-01,
318,Besora,2026-01-01,
789,Betlan,2026-01-01,
790,Betren,2026-01-01,
177,Beuda,2026-01-01,
1099,Bigues,2026-01-01,
1098,Bigues i Riells,2026-01-01,
445,Biosca,2026-01-01,
90,"Bisbal d'Empordà, la",2026-01-01,
974,"Bisbal de Montsant, la",2026-01-01,
930,"Bisbal del Penedès, la",2026-01-01,
749,Biscarri,2026-01-01,
1510,Biure,2026-01-01,
6,Biure,2026-01-01,
942,Blancafort,2026-01-01,
278,Blanes,2026-01-01,
1303,"Bleda, la",2026-01-01,
599,Boada,2026-01-01,
7,Boadella d'Empordà,2026-01-01,
699,Boldís Jussà,2026-01-01,
700,Boldís Sobirà,2026-01-01,
148,Bolvir,2026-01-01,
931,Bonastre,2026-01-01,
711,Bonestarre,2026-01-01,
146,Bor,2026-01-01,
1503,"Bordeta, era",2026-01-01,
207,Bordils,2026-01-01,
389,"Borges Blanques, les",2026-01-01,
898,"Borges del Camp, les",2026-01-01,
9,Borrassà,2026-01-01,
1420,Borredà,2026-01-01,
676,Borén,2026-01-01,
774,Bossòst,2026-01-01,
1050,Bot,2026-01-01,
899,Botarell,2026-01-01,
390,Bovera,2026-01-01,
805,Boí,2026-01-01,
279,Breda,2026-01-01,
5086,Bresca,2026-01-01,
5084,Bretui,2026-01-01,
486,Briansó,2026-01-01,
242,Briolf,2026-01-01,
1379,"Bruc, el",2026-01-01,
1207,"Brull, el",2026-01-01,
280,Brunyola,2026-01-01,
869,Bràfim,2026-01-01,
763,Buira,2026-01-01,
693,Burg,2026-01-01,
319,Busa,2026-01-01,
5125,Buseu,2026-01-01,
571,Butsènit,2026-01-01,
5,Bàscara,2026-01-01,
1013,Bítem,2026-01-01,
770,"Bòrdes, Es",2026-01-01,
718,Bóixols,2026-01-01,
1311,Ca l'Avi,2026-01-01,
975,Cabacés,2026-01-01,
552,Cabanabona,2026-01-01,
11,Cabanelles,2026-01-01,
12,Cabanes,2026-01-01,
1272,"Cabanyes, les",2026-01-01,
5100,Cabestany,2026-01-01,
5137,Cabestany,2026-01-01,
870,Cabra del Camp,2026-01-01,
1381,Cabrera d'Anoia,2026-01-01,
1179,Cabrera de Mar,2026-01-01,
1362,Cabrianes,2026-01-01,
1180,Cabrils,2026-01-01,
613,Cabó,2026-01-01,
13,Cadaqués,2026-01-01,
1436,Cal Rosal,2026-01-01,
1382,Calaf,2026-01-01,
932,Calafell,2026-01-01,
657,Calbinyà,2026-01-01,
1335,Calders,2026-01-01,
1181,Caldes d'Estrac,2026-01-01,
281,Caldes de Malavella,2026-01-01,
1101,Caldes de Montbui,2026-01-01,
1182,Calella,2026-01-01,
1208,Calldetenes,2026-01-01,
1336,Callús,2026-01-01,
91,Calonge,2026-01-01,
1383,Calonge de Segarra,2026-01-01,
62,Camallera,2026-01-01,
554,Camarasa,2026-01-01,
1004,Camarles,2026-01-01,
327,Cambrils,2026-01-01,
902,Cambrils,2026-01-01,
247,Campdevànol,2026-01-01,
248,Campelles,2026-01-01,
1102,Campins,2026-01-01,
208,Campllong,2026-01-01,
1012,Campredó,2026-01-01,
250,Camprodon,2026-01-01,
1346,Camps,2026-01-01,
233,Camós,2026-01-01,
5105,Can Bas,2026-01-01,
1312,Can Batista,2026-01-01,
1313,Can Cartró,2026-01-01,
1314,Can Rossell,2026-01-01,
328,Canalda,2026-01-01,
102,Canapost,2026-01-01,
775,Canejan,2026-01-01,
209,Canet d'Adri,2026-01-01,
1183,Canet de Mar,2026-01-01,
130,Canet de la Tallada,2026-01-01,
856,"Canonja, la",2026-01-01,
1103,Canovelles,2026-01-01,
38,Cantallops,2026-01-01,
1269,Cantallops,2026-01-01,
5106,Cantallops,2026-01-01,
1252,Cantonigròs,2026-01-01,
196,"Canya, la",2026-01-01,
1324,Canyelles,2026-01-01,
476,"Canós, el",2026-01-01,
900,Capafonts,2026-01-01,
1384,Capellades,2026-01-01,
14,Capmany,2026-01-01,
1421,Capolat,2026-01-01,
976,Capçanes,2026-01-01,
1107,Cardedeu,2026-01-01,
806,Cardet,2026-01-01,
1337,Cardona,2026-01-01,
448,"Cardosa, la",2026-01-01,
5140,Caresrius de la Rierada,2026-01-01,
1385,Carme,2026-01-01,
793,Casarilh,2026-01-01,
794,Casau,2026-01-01,
1051,Caseres,2026-01-01,
1035,"Cases d'Alcanar, les",2026-01-01,
1274,"Casetes de la Gornal, les",2026-01-01,
1315,"Casots, els",2026-01-01,
1422,Casserres,2026-01-01,
712,Cassibrós,2026-01-01,
210,Cassà de la Selva,2026-01-01,
1423,Castell de l'Areny,2026-01-01,
93,Castell-Platja d'Aro,2026-01-01,
1544,Castellar de Tost,2026-01-01,
303,Castellar de la Ribera,2026-01-01,
1424,Castellar de n'Hug,2026-01-01,
1458,Castellar del Riu,2026-01-01,
1153,Castellar del Vallès,2026-01-01,
1338,Castellbell i el Vilar,2026-01-01,
1154,Castellbisbal,2026-01-01,
1108,Castellcir,2026-01-01,
391,Castelldans,2026-01-01,
1067,Castelldefels,2026-01-01,
1275,Castellet,2026-01-01,
1273,Castellet i la Gornal,2026-01-01,
1386,Castellfollit de Riubregós,2026-01-01,
178,Castellfollit de la Roca,2026-01-01,
1339,Castellfollit del Boix,2026-01-01,
1340,Castellgalí,2026-01-01,
449,Castellnou d'Oluges,2026-01-01,
427,Castellnou d'Ossó,2026-01-01,
1341,Castellnou de Bages,2026-01-01,
609,Castellnou de Bassella,2026-01-01,
635,Castellnou de Carcolze,2026-01-01,
822,Castellnou de Seana,2026-01-01,
1387,Castellolí,2026-01-01,
418,Castellserà,2026-01-01,
1367,Castelltallat,2026-01-01,
1109,Castellterçol,2026-01-01,
901,Castellvell del Camp,2026-01-01,
1068,Castellví de Rosanes,2026-01-01,
1283,Castellví de la Marca,2026-01-01,
15,Castelló d'Empúries,2026-01-01,
561,Castelló de Farfanya,2026-01-01,
837,"Catllar, el",2026-01-01,
616,Cava,2026-01-01,
282,"Cellera de Ter, la",2026-01-01,
720,Cellers,2026-01-01,
211,Celrà,2026-01-01,
1209,Centelles,2026-01-01,
5148,Cerc,2026-01-01,
1426,Cercs,2026-01-01,
1155,Cerdanyola del Vallès,2026-01-01,
1069,Cervelló,2026-01-01,
447,Cervera,2026-01-01,
212,Cervià de Ter,2026-01-01,
392,Cervià de les Garrigues,2026-01-01,
947,"Cirera, la",2026-01-01,
16,Cistella,2026-01-01,
419,Ciutadilla,2026-01-01,
505,Civit,2026-01-01,
658,Civís,2026-01-01,
5117,Claravalls,2026-01-01,
1276,Clariana,2026-01-01,
304,Clariana de Cardener,2026-01-01,
729,Claverol,2026-01-01,
610,"Clua, la",2026-01-01,
1368,Coaner,2026-01-01,
393,"Cogul, el",2026-01-01,
18,Colera,2026-01-01,
619,Coll de Nargó,2026-01-01,
1070,Collbató,2026-01-01,
904,Colldejou,2026-01-01,
721,Collmorter,2026-01-01,
1210,Collsuspina,2026-01-01,
94,Colomers,2026-01-01,
1092,"Colònia Güell, la",2026-01-01,
308,"Coma i la Pedra, la",2026-01-01,
497,Comabella,2026-01-01,
477,Concabella,2026-01-01,
943,Conesa,2026-01-01,
750,Conques,2026-01-01,
838,Constantí,2026-01-01,
1388,Copons,2026-01-01,
1052,Corbera d'Ebre,2026-01-01,
1071,Corbera de Llobregat,2026-01-01,
356,Corbins,2026-01-01,
666,Cornellana,2026-01-01,
1072,Cornellà de Llobregat,2026-01-01,
234,Cornellà de Terri,2026-01-01,
977,Cornudella de Montsant,2026-01-01,
1114,Corró d'Amunt,2026-01-01,
1115,Corró d'Avall,2026-01-01,
5092,Cortscastell,2026-01-01,
537,Corçà,2026-01-01,
95,Corçà,2026-01-01,
574,Coscó,2026-01-01,
839,Creixell,2026-01-01,
10,Creixell,2026-01-01,
235,Crespià,2026-01-01,
97,Cruïlles,2026-01-01,
1325,Cubelles,2026-01-01,
562,Cubells,2026-01-01,
5127,Cuberes,2026-01-01,
934,Cunit,2026-01-01,
458,"Curullada, la",2026-01-01,
1105,Cànoves,2026-01-01,
1104,Cànoves i Samalús,2026-01-01,
807,Cóll,2026-01-01,
1030,Darmós,2026-01-01,
19,Darnius,2026-01-01,
149,Das,2026-01-01,
1005,Deltebre,2026-01-01,
1548,"Destres, les",2026-01-01,
411,Donzell d'Urgell,2026-01-01,
180,Dosquers,2026-01-01,
1184,Dosrius,2026-01-01,
905,Duesaigües,2026-01-01,
808,Durro,2026-01-01,
270,Dòrria,2026-01-01,
5089,Enseu,2026-01-01,
809,Erill la Vall,2026-01-01,
730,Erinyà,2026-01-01,
27,Ermedàs,2026-01-01,
20,"Escala, l'",2026-01-01,
989,Escaladei,2026-01-01,
696,Escaló,2026-01-01,
1463,Escart,2026-01-01,
8,"Escaules, les",2026-01-01,
795,Escunhau,2026-01-01,
791,"Esglésies, les",2026-01-01,
1073,Esparreguera,2026-01-01,
1455,Espinalbet,2026-01-01,
257,Espinavell,2026-01-01,
1211,Espinelves,2026-01-01,
394,"Espluga Calba, l'",2026-01-01,
944,"Espluga de Francolí, l'",2026-01-01,
1074,Esplugues de Llobregat,2026-01-01,
21,Espolla,2026-01-01,
236,Esponellà,2026-01-01,
689,Espot,2026-01-01,
1508,"Espunyola, l'",2026-01-01,
1277,"Esquirol, l'",2026-01-01,
1551,Estais,2026-01-01,
620,Estamariu,2026-01-01,
1342,"Estany, l'",2026-01-01,
713,Estaon,2026-01-01,
135,"Estartit, l'",2026-01-01,
453,Estaràs,2026-01-01,
690,Esterri d'Àneu,2026-01-01,
691,Esterri de Cardós,2026-01-01,
243,Falgons,2026-01-01,
1344,Fals,2026-01-01,
979,Falset,2026-01-01,
22,"Far d'Empordà, el",2026-01-01,
512,"Far, el",2026-01-01,
877,Farena,2026-01-01,
659,"Farga de Moles, la",2026-01-01,
692,Farrera,2026-01-01,
1053,"Fatarella, la",2026-01-01,
906,"Febró, la",2026-01-01,
454,Ferran,2026-01-01,
1110,Figaró-Montmany,2026-01-01,
980,"Figuera, la",2026-01-01,
23,Figueres,2026-01-01,
751,Figuerola d'Orcau,2026-01-01,
557,Figuerola de Meià,2026-01-01,
871,Figuerola del Camp,2026-01-01,
5121,"Figuerosa, la",2026-01-01,
213,Flaçà,2026-01-01,
1019,Flix,2026-01-01,
513,Florejacs,2026-01-01,
395,"Floresta, la",2026-01-01,
1111,Fogars de Montclús,2026-01-01,
283,Fogars de la Selva,2026-01-01,
99,Foixà,2026-01-01,
1212,Folgueroles,2026-01-01,
823,Fondarella,2026-01-01,
459,Fonolleres,2026-01-01,
1552,Fonolleres,2026-01-01,
1343,Fonollosa,2026-01-01,
1284,Font-rubí,2026-01-01,
150,Fontanals de Cerdanya,2026-01-01,
100,Fontanilles,2026-01-01,
118,Fontclara,2026-01-01,
237,Fontcoberta,2026-01-01,
525,Fontdepou,2026-01-01,
103,Fonteta,2026-01-01,
558,Fontllonga,2026-01-01,
740,Fontsagrada,2026-01-01,
888,Fontscaldes,2026-01-01,
564,Foradada,2026-01-01,
271,Fornells de la Muntanya,2026-01-01,
214,Fornells de la Selva,2026-01-01,
24,Fortià,2026-01-01,
945,Forès,2026-01-01,
1037,Freginals,2026-01-01,
335,Freixinet,2026-01-01,
420,"Fuliola, la",2026-01-01,
396,Fulleda,2026-01-01,
1427,Fígols,2026-01-01,
645,Fígols,2026-01-01,
667,Fórnols,2026-01-01,
1347,Gaià,2026-01-01,
1348,Galera,2026-01-01,
1038,"Galera, la",2026-01-01,
1156,Gallifa,2026-01-01,
1054,Gandesa,2026-01-01,
1020,Garcia,2026-01-01,
872,"Garidells, els",2026-01-01,
1118,"Garriga, la",2026-01-01,
111,Garrigoles,2026-01-01,
30,Garriguella,2026-01-01,
25,Garrigàs,2026-01-01,
780,Garòs,2026-01-01,
796,Gausac,2026-01-01,
738,Gavet de la Conca,2026-01-01,
1075,Gavà,2026-01-01,
1285,Gelida,2026-01-01,
151,Ger,2026-01-01,
578,Gerb,2026-01-01,
687,Gerri de la Sal,2026-01-01,
5150,"Ges, el",2026-01-01,
781,Gessa,2026-01-01,
359,Gimenells,2026-01-01,
358,Gimenells i el Pla de la Font,2026-01-01,
1021,Ginestar,2026-01-01,
215,Girona,2026-01-01,
1428,Gironella,2026-01-01,
1429,Gisclareny,2026-01-01,
1219,"Gleva, la",2026-01-01,
5124,Glorieta,2026-01-01,
952,Glorieta,2026-01-01,
1039,Godall,2026-01-01,
824,Golmés,2026-01-01,
251,Gombrèn,2026-01-01,
1278,"Gornal, la",2026-01-01,
575,"Gos, el",2026-01-01,
499,Gospí,2026-01-01,
514,Gra,2026-01-01,
1468,Gramuntell,2026-01-01,
1286,"Granada, la",2026-01-01,
397,"Granadella, la",2026-01-01,
1119,Granera,2026-01-01,
357,"Granja d'Escarp, la",2026-01-01,
1120,Granollers,2026-01-01,
538,Granollers,2026-01-01,
457,Granyanella,2026-01-01,
461,Granyena de Segarra,2026-01-01,
398,Granyena de les Garrigues,2026-01-01,
981,Gratallops,2026-01-01,
152,Gréixer,2026-01-01,
1121,Gualba,2026-01-01,
112,Gualta,2026-01-01,
544,Gualter,2026-01-01,
644,Guardiola,2026-01-01,
594,Guardiola,2026-01-01,
1431,Guardiola de Berguedà,2026-01-01,
1511,Guialmons,2026-01-01,
982,"Guiamets, els",2026-01-01,
154,Guils de Cerdanya,2026-01-01,
421,Guimerà,2026-01-01,
695,"Guingueta d'Àneu, la",2026-01-01,
462,Guissona,2026-01-01,
309,Guixers,2026-01-01,
865,"Gunyoles, les",2026-01-01,
1270,"Gunyoles, les",2026-01-01,
1213,Gurb,2026-01-01,
1345,"Guàrdia Lada, la",2026-01-01,
648,Guàrdia d'Ares,2026-01-01,
438,"Guàrdia d'Urgell, la",2026-01-01,
722,Guàrdia de Tremp,2026-01-01,
1442,"Guàrdia, la",2026-01-01,
600,Gàrzola,2026-01-01,
455,Gàver,2026-01-01,
1430,Gósol,2026-01-01,
1055,Horta de Sant Joan,2026-01-01,
305,Hortoneda,2026-01-01,
681,Hortoneda,2026-01-01,
1062,"Hospitalet de Llobregat, l'",2026-01-01,
919,"Hospitalet de l'Infant, l'",2026-01-01,
478,Hostafrancs,2026-01-01,
590,"Hostal Nou i la Codosa, l'",2026-01-01,
487,Hostalets,2026-01-01,
198,"Hostalets d'en Bas, els",2026-01-01,
1389,"Hostalets de Pierola, els",2026-01-01,
284,Hostalric,2026-01-01,
1390,Igualada,2026-01-01,
677,Isavarre,2026-01-01,
678,Isil,2026-01-01,
752,Isona,2026-01-01,
155,Isòvol,2026-01-01,
825,Ivars d'Urgell,2026-01-01,
568,Ivars de Noguera,2026-01-01,
463,Ivorra,2026-01-01,
113,Jafre,2026-01-01,
683,Jesús,2026-01-01,
199,Joanetes,2026-01-01,
31,"Jonquera, la",2026-01-01,
1391,Jorba,2026-01-01,
625,Josa de Cadí,2026-01-01,
216,Juià,2026-01-01,
399,Juncosa,2026-01-01,
400,Juneda,2026-01-01,
1316,Lavern,2026-01-01,
776,Les,2026-01-01,
827,Linyola,2026-01-01,
320,Linyà,2026-01-01,
1031,Llaberia,2026-01-01,
5094,Llabià,2026-01-01,
1392,"Llacuna, la",2026-01-01,
697,Lladorre,2026-01-01,
714,Lladrós,2026-01-01,
310,Lladurs,2026-01-01,
32,Lladó,2026-01-01,
1122,"Llagosta, la",2026-01-01,
217,Llagostera,2026-01-01,
218,Llambilles,2026-01-01,
63,Llampaies,2026-01-01,
252,Llanars,2026-01-01,
33,Llançà,2026-01-01,
361,Llardecans,2026-01-01,
703,Llavorsí,2026-01-01,
362,Lleida,2026-01-01,
311,"Llena, la",2026-01-01,
701,Lleret,2026-01-01,
1116,Llerona,2026-01-01,
34,Llers,2026-01-01,
158,Lles de Cerdanya,2026-01-01,
813,Llesp,2026-01-01,
757,Llimiana,2026-01-01,
1456,Llinars,2026-01-01,
1125,Llinars del Vallès,2026-01-01,
488,Llindars,2026-01-01,
1123,Lliçà d'Amunt,2026-01-01,
1124,Lliçà de Vall,2026-01-01,
983,"Lloar, el",2026-01-01,
315,Llobera,2026-01-01,
446,Lloberola,2026-01-01,
1470,Llocalou,2026-01-01,
515,"Llor, el",2026-01-01,
946,Llorac,2026-01-01,
432,Llorenç de Rocafort,2026-01-01,
935,Llorenç del Penedès,2026-01-01,
285,Lloret de Mar,2026-01-01,
255,"Llosses, les",2026-01-01,
601,Lluçars,2026-01-01,
1214,Lluçà,2026-01-01,
163,Llívia,2026-01-01,
219,Madremanya,2026-01-01,
412,Mafet,2026-01-01,
367,Maials,2026-01-01,
179,Maià de Montcal,2026-01-01,
422,Maldà,2026-01-01,
450,Malgrat,2026-01-01,
1185,Malgrat de Mar,2026-01-01,
1215,Malla,2026-01-01,
200,"Mallol, el",2026-01-01,
5122,Mallolís,2026-01-01,
380,Malpartit,2026-01-01,
814,Malpàs,2026-01-01,
1216,Manlleu,2026-01-01,
1349,Manresa,2026-01-01,
1117,Marata,2026-01-01,
567,Marcovau,2026-01-01,
131,Marenyà,2026-01-01,
985,Margalef,2026-01-01,
1350,Marganell,2026-01-01,
166,Martinet,2026-01-01,
1076,Martorell,2026-01-01,
1126,Martorelles,2026-01-01,
